,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Počet
platných
hlasov
spolu",Platné hlasy (počet / podiel),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Zelení,KDH,SDĽ,SNS,OĽaNO,SaS,PaS,NÁŠ KRAJ,SZ,ĽSNS,SMER - SD,"Zmena zdola, DÚ",NaS - ns,KSS,SRÚS,MOST - HÍD,99%,ĽS - HZDS,+1 HLAS,SF,Obyčajní ľudia,SDKÚ - DS,SOSKA,SMK - MKP,SSS - NM,SŽS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dulov,,514,1,87,1,41,45,19,1,1,3,3,280,0,2,1,0,0,15,2,0,1,1,8,0,0,2,0
,,,"0,19","16,92","0,19","7,97","8,75","3,69","0,19","0,19","0,58","0,58","54,47","0,00","0,38","0,19","0,00","0,00","2,91","0,38","0,00","0,19","0,19","1,55","0,00","0,00","0,38","0,00"
Horná Poruba,,562,1,47,0,45,22,11,3,0,9,22,363,2,8,1,0,1,2,7,1,1,0,14,1,0,0,1
,,,"0,17","8,36","0,00","8,00","3,91","1,95","0,53","0,00","1,60","3,91","64,59","0,35","1,42","0,17","0,00","0,17","0,35","1,24","0,17","0,17","0,00","2,49","0,17","0,00","0,00","0,17"
Horná Súča,,1 598,7,179,8,98,74,26,16,2,7,16,984,6,14,30,0,11,31,28,2,5,1,34,1,0,13,5
,,,"0,43","11,20","0,50","6,13","4,63","1,62","1,00","0,12","0,43","1,00","61,57","0,37","0,87","1,87","0,00","0,68","1,93","1,75","0,12","0,31","0,06","2,12","0,06","0,00","0,81","0,31"
Horné Srnie,,1 531,4,142,2,86,130,59,8,0,21,15,875,17,10,12,0,4,16,51,0,5,3,59,0,0,8,4
,,,"0,26","9,27","0,13","5,61","8,49","3,85","0,52","0,00","1,37","0,97","57,15","1,11","0,65","0,78","0,00","0,26","1,04","3,33","0,00","0,32","0,19","3,85","0,00","0,00","0,52","0,26"
Horňany,,219,1,23,1,13,11,14,1,0,1,6,119,2,3,4,0,2,3,8,0,0,0,7,0,0,0,0
,,,"0,45","10,50","0,45","5,93","5,02","6,39","0,45","0,00","0,45","2,73","54,33","0,91","1,36","1,82","0,00","0,91","1,36","3,65","0,00","0,00","0,00","3,19","0,00","0,00","0,00","0,00"
Hrabovka,,240,2,26,0,12,16,12,0,1,2,1,127,4,1,4,0,2,6,5,0,0,2,15,0,0,1,1
,,,"0,83","10,83","0,00","5,00","6,66","5,00","0,00","0,41","0,83","0,41","52,91","1,66","0,41","1,66","0,00","0,83","2,50","2,08","0,00","0,00","0,83","6,25","0,00","0,00","0,41","0,41"
Chocholná - Velčice,,960,1,73,0,40,61,38,1,0,3,9,610,13,10,17,0,3,10,25,0,5,3,34,0,0,4,0
,,,"0,10","7,60","0,00","4,16","6,35","3,95","0,10","0,00","0,31","0,93","63,54","1,35","1,04","1,77","0,00","0,31","1,04","2,60","0,00","0,52","0,31","3,54","0,00","0,00","0,41","0,00"
Ilava,,2 930,9,229,8,170,248,126,25,1,39,57,1 670,34,15,21,0,43,44,36,0,11,7,113,2,0,17,5
,,,"0,30","7,81","0,27","5,80","8,46","4,30","0,85","0,03","1,33","1,94","56,99","1,16","0,51","0,71","0,00","1,46","1,50","1,22","0,00","0,37","0,23","3,85","0,06","0,00","0,58","0,17"
Ivanovce,,515,0,13,0,24,34,21,5,0,0,15,317,3,8,15,0,6,13,15,0,0,0,21,0,0,5,0
,,,"0,00","2,52","0,00","4,66","6,60","4,07","0,97","0,00","0,00","2,91","61,55","0,58","1,55","2,91","0,00","1,16","2,52","2,91","0,00","0,00","0,00","4,07","0,00","0,00","0,97","0,00"
Kameničany,,275,1,58,3,45,18,1,1,0,1,0,117,1,0,0,0,1,2,2,0,2,0,17,0,0,4,1
,,,"0,36","21,09","1,09","16,36","6,54","0,36","0,36","0,00","0,36","0,00","42,54","0,36","0,00","0,00","0,00","0,36","0,72","0,72","0,00","0,72","0,00","6,18","0,00","0,00","1,45","0,36"
Kostolná - Záriečie,,366,1,51,0,21,23,14,2,0,2,1,184,1,2,7,0,2,2,40,0,0,0,13,0,0,0,0
,,,"0,27","13,93","0,00","5,73","6,28","3,82","0,54","0,00","0,54","0,27","50,27","0,27","0,54","1,91","0,00","0,54","0,54","10,92","0,00","0,00","0,00","3,55","0,00","0,00","0,00","0,00"
Košeca,,1 402,6,100,6,85,119,48,33,0,4,6,876,13,4,5,1,10,13,16,1,4,0,32,2,0,18,0
,,,"0,42","7,13","0,42","6,06","8,48","3,42","2,35","0,00","0,28","0,42","62,48","0,92","0,28","0,35","0,07","0,71","0,92","1,14","0,07","0,28","0,00","2,28","0,14","0,00","1,28","0,00"
Košecké Podhradie,,591,0,17,3,47,23,15,6,1,2,6,411,12,7,5,0,1,9,7,0,1,0,12,0,0,3,3
,,,"0,00","2,87","0,50","7,95","3,89","2,53","1,01","0,16","0,33","1,01","69,54","2,03","1,18","0,84","0,00","0,16","1,52","1,18","0,00","0,16","0,00","2,03","0,00","0,00","0,50","0,50"
Krivoklát,,112,2,5,2,9,4,4,2,0,1,0,72,0,1,0,0,0,1,5,0,1,0,1,0,0,1,1
,,,"1,78","4,46","1,78","8,03","3,57","3,57","1,78","0,00","0,89","0,00","64,28","0,00","0,89","0,00","0,00","0,00","0,89","4,46","0,00","0,89","0,00","0,89","0,00","0,00","0,89","0,89"
Krivosúd - Bodovka,,178,1,5,0,9,14,5,0,0,4,5,97,5,4,2,0,6,6,4,0,2,0,8,1,0,0,0
,,,"0,56","2,80","0,00","5,05","7,86","2,80","0,00","0,00","2,24","2,80","54,49","2,80","2,24","1,12","0,00","3,37","3,37","2,24","0,00","1,12","0,00","4,49","0,56","0,00","0,00","0,00"
Ladce,,1 311,5,87,7,82,106,56,7,1,9,11,833,8,5,23,4,7,12,10,0,2,5,23,1,0,6,1
,,,"0,38","6,63","0,53","6,25","8,08","4,27","0,53","0,07","0,68","0,83","63,53","0,61","0,38","1,75","0,30","0,53","0,91","0,76","0,00","0,15","0,38","1,75","0,07","0,00","0,45","0,07"
Melčice - Lieskové,,903,6,72,0,43,77,44,8,1,7,12,501,11,2,13,0,12,21,12,0,5,2,47,0,0,6,1
,,,"0,66","7,97","0,00","4,76","8,52","4,87","0,88","0,11","0,77","1,32","55,48","1,21","0,22","1,43","0,00","1,32","2,32","1,32","0,00","0,55","0,22","5,20","0,00","0,00","0,66","0,11"
Mikušovce,,479,2,39,1,22,19,6,0,0,5,2,324,4,6,6,0,1,7,24,0,1,1,7,1,0,1,0
,,,"0,41","8,14","0,20","4,59","3,96","1,25","0,00","0,00","1,04","0,41","67,64","0,83","1,25","1,25","0,00","0,20","1,46","5,01","0,00","0,20","0,20","1,46","0,20","0,00","0,20","0,00"
Mníchova Lehota,,615,1,61,1,35,80,36,11,0,1,6,303,7,1,6,1,10,18,6,0,1,1,18,2,0,8,1
,,,"0,16","9,91","0,16","5,69","13,00","5,85","1,78","0,00","0,16","0,97","49,26","1,13","0,16","0,97","0,16","1,62","2,92","0,97","0,00","0,16","0,16","2,92","0,32","0,00","1,30","0,16"
Motešice,,411,2,56,0,22,25,20,4,0,2,6,228,7,2,4,0,1,6,1,0,1,2,17,1,0,3,1
,,,"0,48","13,62","0,00","5,35","6,08","4,86","0,97","0,00","0,48","1,45","55,47","1,70","0,48","0,97","0,00","0,24","1,45","0,24","0,00","0,24","0,48","4,13","0,24","0,00","0,72","0,24"
Nemšová,,3 183,15,500,0,229,428,143,9,2,26,27,1 428,26,24,18,1,35,66,46,2,9,3,114,5,1,25,1
,,,"0,47","15,70","0,00","7,19","13,44","4,49","0,28","0,06","0,81","0,84","44,86","0,81","0,75","0,56","0,03","1,09","2,07","1,44","0,06","0,28","0,09","3,58","0,15","0,03","0,78","0,03"
Neporadza,,411,1,70,0,42,32,6,1,0,1,7,202,3,5,5,0,1,4,1,0,0,0,27,0,0,1,2
,,,"0,24","17,03","0,00","10,21","7,78","1,45","0,24","0,00","0,24","1,70","49,14","0,72","1,21","1,21","0,00","0,24","0,97","0,24","0,00","0,00","0,00","6,56","0,00","0,00","0,24","0,48"
Nová Dubnica,,6 163,26,510,7,291,649,386,38,7,29,106,3 160,53,36,46,0,85,80,96,1,36,10,449,5,0,53,4
,,,"0,42","8,27","0,11","4,72","10,53","6,26","0,61","0,11","0,47","1,71","51,27","0,85","0,58","0,74","0,00","1,37","1,29","1,55","0,01","0,58","0,16","7,28","0,08","0,00","0,85","0,06"
Omšenie,,1 070,2,64,2,65,47,23,4,0,5,9,721,9,6,4,0,10,18,49,0,2,0,15,4,0,11,0
,,,"0,18","5,98","0,18","6,07","4,39","2,14","0,37","0,00","0,46","0,84","67,38","0,84","0,56","0,37","0,00","0,93","1,68","4,57","0,00","0,18","0,00","1,40","0,37","0,00","1,02","0,00"
Opatovce,,195,4,33,0,11,10,6,2,0,1,3,94,1,1,5,0,3,8,7,0,1,0,3,0,0,1,1
,,,"2,05","16,92","0,00","5,64","5,12","3,07","1,02","0,00","0,51","1,53","48,20","0,51","0,51","2,56","0,00","1,53","4,10","3,58","0,00","0,51","0,00","1,53","0,00","0,00","0,51","0,51"
Petrova Lehota,,106,1,5,0,8,3,0,0,0,1,0,72,4,1,1,0,0,5,0,0,0,0,0,1,0,4,0
,,,"0,94","4,71","0,00","7,54","2,83","0,00","0,00","0,00","0,94","0,00","67,92","3,77","0,94","0,94","0,00","0,00","4,71","0,00","0,00","0,00","0,00","0,00","0,94","0,00","3,77","0,00"
Pruské,,1 189,1,150,0,57,87,34,11,2,4,22,732,5,6,9,0,10,12,9,0,3,0,22,0,0,12,1
,,,"0,08","12,61","0,00","4,79","7,31","2,85","0,92","0,16","0,33","1,85","61,56","0,42","0,50","0,75","0,00","0,84","1,00","0,75","0,00","0,25","0,00","1,85","0,00","0,00","1,00","0,08"
Sedmerovec,,221,2,24,1,14,10,6,1,0,2,2,134,3,1,1,0,1,3,4,0,1,1,5,0,0,5,0
,,,"0,90","10,85","0,45","6,33","4,52","2,71","0,45","0,00","0,90","0,90","60,63","1,35","0,45","0,45","0,00","0,45","1,35","1,80","0,00","0,45","0,45","2,26","0,00","0,00","2,26","0,00"
Selec,,538,0,64,0,18,19,10,5,0,3,6,354,2,3,7,0,5,8,3,1,2,3,21,0,0,3,1
,,,"0,00","11,89","0,00","3,34","3,53","1,85","0,92","0,00","0,55","1,11","65,79","0,37","0,55","1,30","0,00","0,92","1,48","0,55","0,18","0,37","0,55","3,90","0,00","0,00","0,55","0,18"
Skalka nad Váhom,,605,3,82,0,46,64,23,4,0,4,5,279,4,3,1,0,10,18,22,0,0,2,24,4,0,5,2
,,,"0,49","13,55","0,00","7,60","10,57","3,80","0,66","0,00","0,66","0,82","46,11","0,66","0,49","0,16","0,00","1,65","2,97","3,63","0,00","0,00","0,33","3,96","0,66","0,00","0,82","0,33"
Slavnica,,359,1,77,0,25,17,8,0,1,4,4,192,1,4,0,0,4,1,0,0,3,1,14,0,0,1,1
,,,"0,27","21,44","0,00","6,96","4,73","2,22","0,00","0,27","1,11","1,11","53,48","0,27","1,11","0,00","0,00","1,11","0,27","0,00","0,00","0,83","0,27","3,89","0,00","0,00","0,27","0,27"
Soblahov,,1 007,3,136,1,42,103,61,6,0,4,9,509,8,8,8,0,11,29,14,0,3,1,43,1,0,5,2
,,,"0,29","13,50","0,09","4,17","10,22","6,05","0,59","0,00","0,39","0,89","50,54","0,79","0,79","0,79","0,00","1,09","2,87","1,39","0,00","0,29","0,09","4,27","0,09","0,00","0,49","0,19"
Svinná,,765,0,78,0,24,96,21,2,0,2,10,442,13,9,4,0,16,14,4,0,5,0,20,0,0,5,0
,,,"0,00","10,19","0,00","3,13","12,54","2,74","0,26","0,00","0,26","1,30","57,77","1,69","1,17","0,52","0,00","2,09","1,83","0,52","0,00","0,65","0,00","2,61","0,00","0,00","0,65","0,00"
Štvrtok,,224,1,14,0,7,24,11,1,2,3,0,123,0,2,3,0,4,4,0,0,0,0,22,0,0,2,1
,,,"0,44","6,25","0,00","3,12","10,71","4,91","0,44","0,89","1,33","0,00","54,91","0,00","0,89","1,33","0,00","1,78","1,78","0,00","0,00","0,00","0,00","9,82","0,00","0,00","0,89","0,44"
Trenčianska Teplá,,2 076,4,249,3,143,230,99,13,1,7,37,1 006,23,10,16,0,30,24,40,0,6,4,102,0,0,21,8
,,,"0,19","11,99","0,14","6,88","11,07","4,76","0,62","0,04","0,33","1,78","48,45","1,10","0,48","0,77","0,00","1,44","1,15","1,92","0,00","0,28","0,19","4,91","0,00","0,00","1,01","0,38"
Trenčianska Turná,,1 626,5,245,6,96,130,78,16,2,12,22,736,29,18,20,0,26,33,12,0,9,6,98,6,3,12,6
,,,"0,30","15,06","0,36","5,90","7,99","4,79","0,98","0,12","0,73","1,35","45,26","1,78","1,10","1,23","0,00","1,59","2,02","0,73","0,00","0,55","0,36","6,02","0,36","0,18","0,73","0,36"
Trenčianske Jastrabie,,689,2,85,0,40,55,19,6,0,6,4,400,12,6,7,0,13,6,3,0,1,0,21,0,0,3,0
,,,"0,29","12,33","0,00","5,80","7,98","2,75","0,87","0,00","0,87","0,58","58,05","1,74","0,87","1,01","0,00","1,88","0,87","0,43","0,00","0,14","0,00","3,04","0,00","0,00","0,43","0,00"
Trenčianske Mitice,,389,1,38,0,21,30,16,3,0,1,1,230,6,6,4,0,0,9,8,0,1,1,10,0,0,3,0
,,,"0,25","9,76","0,00","5,39","7,71","4,11","0,77","0,00","0,25","0,25","59,12","1,54","1,54","1,02","0,00","0,00","2,31","2,05","0,00","0,25","0,25","2,57","0,00","0,00","0,77","0,00"
Trenčianske Stankovce,,1 535,8,151,4,80,176,76,12,5,11,18,791,11,12,9,0,31,27,19,0,5,4,66,2,0,13,4
,,,"0,52","9,83","0,26","5,21","11,46","4,95","0,78","0,32","0,71","1,17","51,53","0,71","0,78","0,58","0,00","2,01","1,75","1,23","0,00","0,32","0,26","4,29","0,13","0,00","0,84","0,26"
Trenčianske Teplice,,2 249,4,226,4,107,238,118,13,0,10,15,1 030,36,15,29,1,50,33,50,0,11,3,228,6,2,17,3
,,,"0,17","10,04","0,17","4,75","10,58","5,24","0,57","0,00","0,44","0,66","45,79","1,60","0,66","1,28","0,04","2,22","1,46","2,22","0,00","0,48","0,13","10,13","0,26","0,08","0,75","0,13"
Trenčín,,28 246,80,2 617,50,1 366,3 550,2 445,236,19,187,273,12 095,412,203,293,3,804,398,371,7,129,56,2 244,42,8,312,46
,,,"0,28","9,26","0,17","4,83","12,56","8,65","0,83","0,06","0,66","0,96","42,82","1,45","0,71","1,03","0,01","2,84","1,40","1,31","0,02","0,45","0,19","7,94","0,14","0,02","1,10","0,16"
Tuchyňa,,426,0,73,1,31,18,14,6,0,2,2,245,0,3,3,0,2,5,9,0,2,0,9,1,0,0,0
,,,"0,00","17,13","0,23","7,27","4,22","3,28","1,40","0,00","0,46","0,46","57,51","0,00","0,70","0,70","0,00","0,46","1,17","2,11","0,00","0,46","0,00","2,11","0,23","0,00","0,00","0,00"
Veľká Hradná,,345,0,85,0,16,22,13,2,0,0,3,158,5,2,0,0,3,10,0,0,0,3,22,0,0,1,0
,,,"0,00","24,63","0,00","4,63","6,37","3,76","0,57","0,00","0,00","0,86","45,79","1,44","0,57","0,00","0,00","0,86","2,89","0,00","0,00","0,00","0,86","6,37","0,00","0,00","0,28","0,00"
Veľké Bierovce,,353,1,64,0,13,19,22,2,0,1,2,199,0,2,1,0,1,2,7,0,0,0,11,0,0,6,0
,,,"0,28","18,13","0,00","3,68","5,38","6,23","0,56","0,00","0,28","0,56","56,37","0,00","0,56","0,28","0,00","0,28","0,56","1,98","0,00","0,00","0,00","3,11","0,00","0,00","1,69","0,00"
Vršatské Podhradie,,129,0,6,1,7,0,3,2,0,0,5,96,2,1,0,0,0,2,1,0,2,0,0,0,0,1,0
,,,"0,00","4,65","0,77","5,42","0,00","2,32","1,55","0,00","0,00","3,87","74,41","1,55","0,77","0,00","0,00","0,00","1,55","0,77","0,00","1,55","0,00","0,00","0,00","0,00","0,77","0,00"
Zamarovce,,473,0,28,0,22,66,32,6,0,1,3,248,3,5,1,0,8,5,11,0,0,1,22,0,0,9,2
,,,"0,00","5,91","0,00","4,65","13,95","6,76","1,26","0,00","0,21","0,63","52,43","0,63","1,05","0,21","0,00","1,69","1,05","2,32","0,00","0,00","0,21","4,65","0,00","0,00","1,90","0,42"
Zliechov,,343,2,18,6,27,10,5,5,0,1,4,229,2,4,5,0,3,3,9,0,0,0,8,0,0,1,1
,,,"0,58","5,24","1,74","7,87","2,91","1,45","1,45","0,00","0,29","1,16","66,76","0,58","1,16","1,45","0,00","0,87","0,87","2,62","0,00","0,00","0,00","2,33","0,00","0,00","0,29","0,29"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obvod Trenčín,,88 787,267,8 539,176,4 867,8 755,5 240,625,56,534,1 086,45 410,1 010,624,863,17,1 467,1 354,1 376,17,368,160,4 897,107,15,822,135
,,,"0,30","9,61","0,19","5,48","9,86","5,90","0,70","0,06","0,60","1,22","51,14","1,13","0,70","0,97","0,01","1,65","1,52","1,54","0,01","0,41","0,18","5,51","0,12","0,01","0,92","0,15"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Počet
platných
hlasov
spolu",Platné hlasy (počet / podiel),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Zelení,KDH,SDĽ,SNS,OĽaNO,SaS,PaS,NÁŠ KRAJ,SZ,ĽSNS,SMER - SD,"Zmena zdola, DÚ",NaS - ns,KSS,SRÚS,MOST - HÍD,99%,ĽS - HZDS,+1 HLAS,SF,Obyčajní ľudia,SDKÚ - DS,SOSKA,SMK - MKP,SSS - NM,SŽS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajč,,466,3,9,0,0,12,12,1,0,1,4,78,4,0,2,0,247,8,6,0,3,1,17,0,55,3,0
,,,"0,64","1,93","0,00","0,00","2,57","2,57","0,21","0,00","0,21","0,85","16,73","0,85","0,00","0,42","0,00","53,00","1,71","1,28","0,00","0,64","0,21","3,64","0,00","11,80","0,64","0,00"
Bátorove Kosihy,,1 398,3,6,1,6,13,5,1,0,3,4,104,3,1,0,1,463,11,3,0,0,0,20,0,747,1,2
,,,"0,21","0,42","0,07","0,42","0,92","0,35","0,07","0,00","0,21","0,28","7,43","0,21","0,07","0,00","0,07","33,11","0,78","0,21","0,00","0,00","0,00","1,43","0,00","53,43","0,07","0,14"
Bodza,,196,0,0,0,1,4,3,0,0,0,0,11,0,0,0,0,64,0,0,0,0,0,0,0,110,3,0
,,,"0,00","0,00","0,00","0,51","2,04","1,53","0,00","0,00","0,00","0,00","5,61","0,00","0,00","0,00","0,00","32,65","0,00","0,00","0,00","0,00","0,00","0,00","0,00","56,12","1,53","0,00"
Bodzianske Lúky,,114,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,23,0,0,0,0,0,0,0,86,0,0
,,,"0,00","0,00","0,00","0,00","0,00","0,87","0,00","0,00","0,00","0,00","3,50","0,00","0,00","0,00","0,00","20,17","0,00","0,00","0,00","0,00","0,00","0,00","0,00","75,43","0,00","0,00"
Brestovec,,269,0,3,0,0,2,1,0,1,0,0,8,0,0,0,0,120,2,0,1,0,0,3,0,128,0,0
,,,"0,00","1,11","0,00","0,00","0,74","0,37","0,00","0,37","0,00","0,00","2,97","0,00","0,00","0,00","0,00","44,60","0,74","0,00","0,37","0,00","0,00","1,11","0,00","47,58","0,00","0,00"
Búč,,676,0,4,0,1,4,4,0,0,0,0,14,0,0,0,0,184,0,1,0,0,0,2,0,462,0,0
,,,"0,00","0,59","0,00","0,14","0,59","0,59","0,00","0,00","0,00","0,00","2,07","0,00","0,00","0,00","0,00","27,21","0,00","0,14","0,00","0,00","0,00","0,29","0,00","68,34","0,00","0,00"
Čalovec,,462,1,5,0,2,21,3,0,0,0,0,77,0,0,0,0,145,13,1,0,3,0,6,0,178,5,2
,,,"0,21","1,08","0,00","0,43","4,54","0,64","0,00","0,00","0,00","0,00","16,66","0,00","0,00","0,00","0,00","31,38","2,81","0,21","0,00","0,64","0,00","1,29","0,00","38,52","1,08","0,43"
Číčov,,588,2,2,1,2,7,0,0,0,1,0,11,0,0,0,0,149,0,0,0,0,0,2,0,411,0,0
,,,"0,34","0,34","0,17","0,34","1,19","0,00","0,00","0,00","0,17","0,00","1,87","0,00","0,00","0,00","0,00","25,34","0,00","0,00","0,00","0,00","0,00","0,34","0,00","69,89","0,00","0,00"
Dedina Mládeže,,207,2,4,2,8,0,3,0,0,0,0,48,1,0,2,0,70,4,0,0,0,0,1,0,62,0,0
,,,"0,96","1,93","0,96","3,86","0,00","1,44","0,00","0,00","0,00","0,00","23,18","0,48","0,00","0,96","0,00","33,81","1,93","0,00","0,00","0,00","0,00","0,48","0,00","29,95","0,00","0,00"
Dulovce,,775,3,51,0,62,33,35,2,0,0,13,480,4,4,2,0,23,11,5,0,5,1,33,1,0,7,0
,,,"0,38","6,58","0,00","8,00","4,25","4,51","0,25","0,00","0,00","1,67","61,93","0,51","0,51","0,25","0,00","2,96","1,41","0,64","0,00","0,64","0,12","4,25","0,12","0,00","0,90","0,00"
Holiare,,192,2,0,0,1,2,3,0,0,0,0,2,0,0,0,0,56,2,0,0,0,0,3,0,121,0,0
,,,"1,04","0,00","0,00","0,52","1,04","1,56","0,00","0,00","0,00","0,00","1,04","0,00","0,00","0,00","0,00","29,16","1,04","0,00","0,00","0,00","0,00","1,56","0,00","63,02","0,00","0,00"
Hurbanovo,,3 094,10,79,3,106,166,122,10,2,6,19,639,31,13,39,1,915,71,12,0,16,5,121,3,665,36,4
,,,"0,32","2,55","0,09","3,42","5,36","3,94","0,32","0,06","0,19","0,61","20,65","1,00","0,42","1,26","0,03","29,57","2,29","0,38","0,00","0,51","0,16","3,91","0,09","21,49","1,16","0,12"
Chotín,,759,2,3,1,0,5,13,0,0,2,0,41,1,0,0,0,227,5,11,0,0,0,2,0,446,0,0
,,,"0,26","0,39","0,13","0,00","0,65","1,71","0,00","0,00","0,26","0,00","5,40","0,13","0,00","0,00","0,00","29,90","0,65","1,44","0,00","0,00","0,00","0,26","0,00","58,76","0,00","0,00"
Imeľ,,858,3,14,0,3,35,18,0,0,0,6,123,1,0,2,0,462,10,0,0,2,0,24,1,149,4,1
,,,"0,34","1,63","0,00","0,34","4,07","2,09","0,00","0,00","0,00","0,69","14,33","0,11","0,00","0,23","0,00","53,84","1,16","0,00","0,00","0,23","0,00","2,79","0,11","17,36","0,46","0,11"
Iža,,794,0,5,0,18,12,18,1,0,2,1,101,2,2,1,0,176,9,1,0,0,2,15,0,424,3,1
,,,"0,00","0,62","0,00","2,26","1,51","2,26","0,12","0,00","0,25","0,12","12,72","0,25","0,25","0,12","0,00","22,16","1,13","0,12","0,00","0,00","0,25","1,88","0,00","53,40","0,37","0,12"
Kameničná,,740,1,4,0,9,8,10,0,0,2,2,53,4,1,2,0,266,6,5,0,0,0,10,0,349,7,1
,,,"0,13","0,54","0,00","1,21","1,08","1,35","0,00","0,00","0,27","0,27","7,16","0,54","0,13","0,27","0,00","35,94","0,81","0,67","0,00","0,00","0,00","1,35","0,00","47,16","0,94","0,13"
Klížska Nemá,,260,2,0,1,1,1,0,0,0,3,0,12,0,0,3,1,32,0,0,0,0,0,0,0,203,0,1
,,,"0,76","0,00","0,38","0,38","0,38","0,00","0,00","0,00","1,15","0,00","4,61","0,00","0,00","1,15","0,38","12,30","0,00","0,00","0,00","0,00","0,00","0,00","0,00","78,07","0,00","0,38"
Kolárovo,,4 321,5,32,2,42,55,77,7,0,8,6,303,11,5,12,2,1 268,44,4,2,5,6,74,1,2 332,16,2
,,,"0,11","0,74","0,04","0,97","1,27","1,78","0,16","0,00","0,18","0,13","7,01","0,25","0,11","0,27","0,04","29,34","1,01","0,09","0,04","0,11","0,13","1,71","0,02","53,96","0,37","0,04"
Komárno,,14 774,35,333,8,224,525,743,23,3,47,42,2 319,103,23,57,3,4 124,180,42,3,40,5,651,10,5 149,74,8
,,,"0,23","2,25","0,05","1,51","3,55","5,02","0,15","0,02","0,31","0,28","15,69","0,69","0,15","0,38","0,02","27,91","1,21","0,28","0,02","0,27","0,03","4,40","0,06","34,85","0,50","0,05"
Kravany nad Dunajom,,383,1,4,1,0,3,3,0,0,1,0,11,1,0,1,0,103,0,1,0,0,0,4,0,248,1,0
,,,"0,26","1,04","0,26","0,00","0,78","0,78","0,00","0,00","0,26","0,00","2,87","0,26","0,00","0,26","0,00","26,89","0,00","0,26","0,00","0,00","0,00","1,04","0,00","64,75","0,26","0,00"
Lipové,,93,0,11,0,4,16,2,0,0,0,1,26,4,0,1,0,16,0,0,0,0,0,8,1,3,0,0
,,,"0,00","11,82","0,00","4,30","17,20","2,15","0,00","0,00","0,00","1,07","27,95","4,30","0,00","1,07","0,00","17,20","0,00","0,00","0,00","0,00","0,00","8,60","1,07","3,22","0,00","0,00"
Marcelová,,1 517,2,13,3,6,17,20,1,0,4,3,50,3,0,2,0,549,14,5,1,0,0,13,0,810,1,0
,,,"0,13","0,85","0,19","0,39","1,12","1,31","0,06","0,00","0,26","0,19","3,29","0,19","0,00","0,13","0,00","36,18","0,92","0,32","0,06","0,00","0,00","0,85","0,00","53,39","0,06","0,00"
Martovce,,327,1,1,0,0,2,2,0,0,0,0,18,0,0,0,0,88,3,1,0,0,0,4,0,207,0,0
,,,"0,30","0,30","0,00","0,00","0,61","0,61","0,00","0,00","0,00","0,00","5,50","0,00","0,00","0,00","0,00","26,91","0,91","0,30","0,00","0,00","0,00","1,22","0,00","63,30","0,00","0,00"
Moča,,611,0,0,1,0,5,3,0,0,1,1,9,1,0,0,0,223,1,1,0,0,0,2,0,362,1,0
,,,"0,00","0,00","0,16","0,00","0,81","0,49","0,00","0,00","0,16","0,16","1,47","0,16","0,00","0,00","0,00","36,49","0,16","0,16","0,00","0,00","0,00","0,32","0,00","59,24","0,16","0,00"
Modrany,,541,2,1,0,0,2,6,0,0,0,0,8,0,2,0,0,146,1,0,0,2,0,1,0,369,0,1
,,,"0,36","0,18","0,00","0,00","0,36","1,10","0,00","0,00","0,00","0,00","1,47","0,00","0,36","0,00","0,00","26,98","0,18","0,00","0,00","0,36","0,00","0,18","0,00","68,20","0,00","0,18"
Mudroňovo,,63,0,1,0,7,2,1,0,0,0,2,40,0,0,1,0,3,3,1,0,0,0,2,0,0,0,0
,,,"0,00","1,58","0,00","11,11","3,17","1,58","0,00","0,00","0,00","3,17","63,49","0,00","0,00","1,58","0,00","4,76","4,76","1,58","0,00","0,00","0,00","3,17","0,00","0,00","0,00","0,00"
Nesvady,,1 907,5,51,1,20,59,33,3,0,4,2,210,9,0,4,2,828,20,5,0,3,0,51,1,589,7,0
,,,"0,26","2,67","0,05","1,04","3,09","1,73","0,15","0,00","0,20","0,10","11,01","0,47","0,00","0,20","0,10","43,41","1,04","0,26","0,00","0,15","0,00","2,67","0,05","30,88","0,36","0,00"
Okoličná na Ostrove,,634,3,4,1,0,1,2,0,0,2,0,32,0,0,0,0,136,9,1,0,0,1,8,0,433,1,0
,,,"0,47","0,63","0,15","0,00","0,15","0,31","0,00","0,00","0,31","0,00","5,04","0,00","0,00","0,00","0,00","21,45","1,41","0,15","0,00","0,00","0,15","1,26","0,00","68,29","0,15","0,00"
Patince,,298,0,2,2,0,5,6,2,0,0,1,14,1,0,0,0,61,2,0,1,1,0,12,1,187,0,0
